part_number	description	metres	source
SP-SFYS2RD-CEG	Copper Cable, SPE, SP1-400, 1-Pair	305	Νίκος 09/2026
SP-SFYS2VL-CEG	Copper Cable, SPE, SP1-400, 1-Pair	305	Νίκος 09/2026
SP-SFYS2WH-CEG	Copper Cable, SPE, SP1-400, 1-Pair	305	Νίκος 09/2026
SP-SFYS2YL-CEG	Copper Cable, SPE, SP1-400, 1-Pair	305	Νίκος 09/2026
PUL6AV04BU-ED	Copper Cable, Cat 6A, Vari-MaTriX, 4-Pair	305	Νίκος 09/2026
PUL6AV04IG-ED	Copper Cable, Cat 6A, Vari-MaTriX, 4-Pair	305	Νίκος 09/2026
PUL6AV04WH-ED	Copper Cable, Cat 6A, Vari-MaTriX, 4-Pair	305	Νίκος 09/2026
PUY6AV04BU-ED	Copper Cable, Cat 6A, Vari-MaTriX, 4-Pair	305	Νίκος 09/2026
PUY6AV04IG-ED	Copper Cable, Cat 6A, Vari-MaTriX, 4-Pair	305	Νίκος 09/2026
PUY6AV04WH-ED	Copper Cable, Cat 6A, Vari-MaTriX, 4-Pair	305	Νίκος 09/2026
PUY6004BL-HE	Copper Cable, Enhanced Cat 6, 4-Pair	305	Νίκος 09/2026
PUY6004BU-HE	Copper Cable, Enhanced Cat 6, 4-Pair	305	Νίκος 09/2026
PUY6004GR-HE	Copper Cable, Enhanced Cat 6, 4-Pair	305	Νίκος 09/2026
PUY6004IG-HE	Copper Cable, Enhanced Cat 6, 4-Pair	305	Νίκος 09/2026
PUY6004OR-HE	Copper Cable, Enhanced Cat 6, 4-Pair	305	Νίκος 09/2026
PUY6004RD-HE	Copper Cable, Enhanced Cat 6, 4-Pair	305	Νίκος 09/2026
PUY6004VL-HE	Copper Cable, Enhanced Cat 6, 4-Pair	305	Νίκος 09/2026
PUY6004WH-HE	Copper Cable, Enhanced Cat 6, 4-Pair	305	Νίκος 09/2026
PUY6004YL-HE	Copper Cable, Enhanced Cat 6, 4-Pair	305	Νίκος 09/2026
PUJ6X04WH-HEG	Copper Cable, Cat 6A, 4-Pair, 23 AWG, U/UTP	305	Νίκος 09/2026
PUL6X04BU-HEG	Copper Cable, Cat 6A, 4-Pair, 23 AWG, U/UTP	305	Νίκος 09/2026
PUL6X04IG-HEG	Copper Cable, Cat 6A, 4-Pair, 23 AWG, U/UTP	305	Νίκος 09/2026
PUL6X04WH-HEG	Copper Cable, Cat 6A, 4-Pair, 23 AWG, U/UTP	305	Νίκος 09/2026
PUY6X04BL-HEG	Copper Cable, Cat 6A, 4-Pair, 23 AWG, U/UTP	305	Νίκος 09/2026
PUY6X04BU-HEG	Copper Cable, Cat 6A, 4-Pair, 23 AWG, U/UTP	305	Νίκος 09/2026
PUY6X04GR-HEG	Copper Cable, Cat 6A, 4-Pair, 23 AWG, U/UTP	305	Νίκος 09/2026
PUY6X04IG-HEG	Copper Cable, Cat 6A, 4-Pair, 23 AWG, U/UTP	305	Νίκος 09/2026
PUY6X04OR-HEG	Copper Cable, Cat 6A, 4-Pair, 23 AWG, U/UTP	305	Νίκος 09/2026
PUY6X04RD-HEG	Copper Cable, Cat 6A, 4-Pair, 23 AWG, U/UTP	305	Νίκος 09/2026
PUY6X04VL-HEG	Copper Cable, Cat 6A, 4-Pair, 23 AWG, U/UTP	305	Νίκος 09/2026
PUY6X04WH-HEG	Copper Cable, Cat 6A, 4-Pair, 23 AWG, U/UTP	305	Νίκος 09/2026
PUY6X04YL-HEG	Copper Cable, Cat 6A, 4-Pair, 23 AWG, U/UTP	305	Νίκος 09/2026
PUL30A25WH-V	Copper Cable, Cat 3, 25-Pair, 24 AWG, U/UTP	305	Νίκος 09/2026
