part_number	description	metres	source
SP-SFCS1BL-CEG	Copper Cable, SPE, SP1-1000, 1-Pair	305	Νίκος 09/2026
SP-SFCS1BU-CEG	Copper Cable, SPE, SP1-1000, 1-Pair	305	Νίκος 09/2026
SP-SFCS1GR-CEG	Copper Cable, SPE, SP1-1000, 1-Pair	305	Νίκος 09/2026
SP-SFCS1IG-CEG	Copper Cable, SPE, SP1-1000, 1-Pair	305	Νίκος 09/2026
SP-SFCS1OR-CEG	Copper Cable, SPE, SP1-1000, 1-Pair	305	Νίκος 09/2026
SP-SFCS1RD-CEG	Copper Cable, SPE, SP1-1000, 1-Pair	305	Νίκος 09/2026
SP-SFCS1VL-CEG	Copper Cable, SPE, SP1-1000, 1-Pair	305	Νίκος 09/2026
SP-SFCS1WH-CEG	Copper Cable, SPE, SP1-1000, 1-Pair	305	Νίκος 09/2026
SP-SFCS1YL-CEG	Copper Cable, SPE, SP1-1000, 1-Pair	305	Νίκος 09/2026
SP-SFLS2BL-CEG	Copper Cable, SPE, SP1-400, 1-Pair	305	Νίκος 09/2026
SP-SFLS2BU-CEG	Copper Cable, SPE, SP1-400, 1-Pair	305	Νίκος 09/2026
SP-SFLS2GR-CEG	Copper Cable, SPE, SP1-400, 1-Pair	305	Νίκος 09/2026
SP-SFLS2IG-CEG	Copper Cable, SPE, SP1-400, 1-Pair	305	Νίκος 09/2026
SP-SFLS2OR-CEG	Copper Cable, SPE, SP1-400, 1-Pair	305	Νίκος 09/2026
SP-SFLS2RD-CEG	Copper Cable, SPE, SP1-400, 1-Pair	305	Νίκος 09/2026
SP-SFLS2VL-CEG	Copper Cable, SPE, SP1-400, 1-Pair	305	Νίκος 09/2026
SP-SFLS2WH-CEG	Copper Cable, SPE, SP1-400, 1-Pair	305	Νίκος 09/2026
SP-SFLS2YL-CEG	Copper Cable, SPE, SP1-400, 1-Pair	305	Νίκος 09/2026
SP-SFYS2BL-CEG	Copper Cable, SPE, SP1-400, 1-Pair	305	Νίκος 09/2026
SP-SFYS2BU-CEG	Copper Cable, SPE, SP1-400, 1-Pair	305	Νίκος 09/2026
SP-SFYS2GR-CEG	Copper Cable, SPE, SP1-400, 1-Pair	305	Νίκος 09/2026
SP-SFYS2IG-CEG	Copper Cable, SPE, SP1-400, 1-Pair	305	Νίκος 09/2026
SP-SFYS2OR-CEG	Copper Cable, SPE, SP1-400, 1-Pair	305	Νίκος 09/2026
